#   theta                      phi                   gain                        magnitude                  phase
10   0   11.54   427.645   0
10   5   11.38   419.485   0
10   10   10.86   395.388   0
10   15   9.96   356.594   0
10   20   8.62   305.423   -0.01
10   25   6.72   245.471   -0.02
10   30   4.1   181.592   -0.03
10   35   0.47   119.518   -0.05
10   40   -4.81   65.0716   -0.11
10   45   -13.8   23.1175   -0.31
10   50   -30.28   3.46767   -178.05
10   55   -17.89   14.4427   -179.59
10   60   -19.31   12.2612   -179.62
10   65   -38.03   1.41987   -177.73
10   70   -19.03   12.6546   -0.14
10   75   -13.17   24.8564   -0.02
10   80   -11.12   31.4591   0.01
10   85   -11.33   30.7188   0.03
10   90   -13.85   22.9874   0.04
10   95   -20.74   10.3972   0.06
10   100   -29.56   3.76547   179.96
10   105   -17.06   15.8909   -179.98
10   110   -13.85   22.972   -179.98
10   115   -13.67   23.4733   -179.98
10   120   -16.01   17.928   -179.99
10   125   -21.96   9.04034   179.96
10   130   -39.71   1.17107   179.11
10   135   -43.89   0.723362   2.3
10   140   -23.47   7.59243   179.72
10   145   -12   28.4382   179.92
10   150   -5.3   61.5282   179.97
10   155   -0.74   103.936   179.98
10   160   2.48   150.685   179.99
10   165   4.75   195.73   180
10   170   6.27   233.055   -180
10   175   7.14   257.651   -180
10   180   7.43   266.23   -180
10   185   7.14   257.651   -180
10   190   6.27   233.055   -180
10   195   4.75   195.73   180
10   200   2.48   150.685   179.99
10   205   -0.74   103.936   179.98
10   210   -5.3   61.5282   179.97
10   215   -12   28.4382   179.92
10   220   -23.47   7.59243   179.72
10   225   -43.89   0.723362   2.3
10   230   -39.71   1.17107   179.11
10   235   -21.96   9.04034   179.96
10   240   -16.01   17.928   -179.99
10   245   -13.67   23.4733   -179.98
10   250   -13.85   22.972   -179.98
10   255   -17.06   15.8909   -179.98
10   260   -29.56   3.76547   179.96
10   265   -20.74   10.3972   0.06
10   270   -13.85   22.9874   0.04
10   275   -11.33   30.7188   0.03
10   280   -11.12   31.4591   0.01
10   285   -13.17   24.8564   -0.02
10   290   -19.03   12.6546   -0.14
10   295   -38.03   1.41987   -177.73
10   300   -19.31   12.2612   -179.62
10   305   -17.89   14.4427   -179.59
10   310   -30.28   3.46767   -178.05
10   315   -13.8   23.1175   -0.31
10   320   -4.81   65.0716   -0.11
10   325   0.47   119.518   -0.05
10   330   4.1   181.592   -0.03
10   335   6.72   245.471   -0.02
10   340   8.62   305.423   -0.01
10   345   9.96   356.594   0
10   350   10.86   395.388   0
10   355   11.38   419.485   0
10   0   11.54   427.645   0
